Boat,Date,HullTotal,Anode,AnodeType,Total
Psycho Tiller,2026-02-19,179.60,0.00,,179.60
Andiamo,2026-02-19,400.06,0.00,,400.06
Parallax,2026-02-19,166.13,0.00,,166.13
JGPC,2026-02-20,152.66,0.00,,152.66
Pazzo Express,2026-02-20,166.13,0.00,,166.13
Pineapple Express,2026-02-23,112.25,0.00,,112.25
Glitch,2026-02-23,99.00,0.00,,99.00
Joyous Spirit,2026-02-23,123.48,0.00,,123.48
Martha,2026-02-23,185.21,0.00,,185.21
Get Smart,2026-02-23,112.25,0.00,,112.25
Twilight Zone,2026-02-23,99.00,0.00,,99.00
Blue Note,2026-02-23,134.70,0.00,,134.70
Marla Hooch,2026-02-23,168.38,0.00,,168.38
Robin,2026-02-24,235.73,0.00,,235.73
Dream Catcher,2026-02-24,154.34,0.00,,154.34
Mojo,2026-02-24,148.17,0.00,,148.17
Maiden California,2026-02-24,99.00,0.00,,99.00
Meliora,2026-02-24,125.72,0.00,,125.72
