Boat,Date,HullTotal,Anode,AnodeType,Total
Meliora,2026-01-01,125.72,0,,125.72
Pazzo Express,2026-01-09,166.13,0,,166.13
Glitch,2026-01-09,99.00,0,,99.00
Mojo,2026-01-09,148.17,0,,148.17
Omega,2026-01-11,152.66,31.92,1" shaft,184.58
Bennu,2026-01-11,157.15,31.92,1" shaft,189.07
Carroll E,2026-01-11,148.18,0,,148.18
Risky,2026-01-14,202.05,0,,202.05
Mazu,2026-01-14,213.28,0,,213.28
Salty Lady,2026-01-14,161.64,0,,161.64
Martha,2026-01-14,202.05,31.92,1" shaft,233.97
Second Wind,2026-01-15,154.34,0,,154.34
Blow Fish,2026-01-15,154.34,0,,154.34
Not Applicable,2026-01-15,135.82,0,,135.82
Aleph Null,2026-01-15,112.25,0,,112.25
Genesis,2026-01-15,180.72,0,,180.72
Puntster,2026-01-15,154.34,0,,154.34
Twilight Zone,2026-01-15,99.00,0,,99.00
Dakini,2026-01-15,160.52,0,,160.52
Que Sera Sera,2026-01-18,135.82,0,,135.82
Molly Bloom,2026-01-18,262.39,0,,262.39
Pearl,2026-01-18,202.05,0,,202.05
Southern Cross,2026-01-19,188.58,0,,188.58
China Rose,2026-01-19,170.62,0,,170.62
Sunday Morning,2026-01-19,188.58,0,,188.58
La Donna Jean,2026-01-19,152.66,0,,152.66
Boghopper,2026-01-23,203.73,0,,203.73
Mistral,2026-01-23,179.60,0,,179.60
Booty,2026-01-23,154.91,0,,154.91
Junebug,2026-01-23,148.18,0,,148.18
Tandem,2026-01-23,161.64,0,,161.64
Phoenix,2026-01-23,134.70,31.92,1" shaft,166.62
Innamorata,2026-01-25,253.12,63.84,2x 1" shaft,316.96
JGPC,2026-01-25,152.66,0,,152.66
Blue Heeler,2026-01-25,188.58,0,,188.58
About Time,2026-01-25,202.05,0,,202.05
Raindancer II,2026-01-26,475.06,0,,475.06
Halo,2026-01-26,259.30,28.37,Beneteau 30mm prop,287.67
Serenity,2026-01-27,491.00,0,,491.00
Msafiri,2026-01-27,121.23,0,,121.23
Moon Dance,2026-01-27,188.58,0,,188.58
Kodiak,2026-01-27,103.27,0,,103.27
Mor Wind,2026-01-27,185.21,0,,185.21
Smogen 2,2026-01-28,242.46,0,,242.46
Maiden California,2026-01-28,99.00,0,,99.00
Solo,2026-01-28,152.66,0,,152.66
Sarah,2026-01-30,116.74,0,,116.74
The Circus Police,2026-01-30,303.25,143.04,612H hull,446.29
Diva,2026-01-30,172.87,0,,172.87
Merope,2026-01-30,170.62,63.84,2x 1" shaft,234.46
Elise,2026-01-30,179.60,0,,179.60
Brigadoon,2026-01-30,179.04,0,,179.04
