Boat,Date,HullTotal,Anode,AnodeType,Total
Que Sera Sera,2026-03-18,98.78,0.00,,98.78
Gerda,2026-03-18,112.25,0.00,,112.25
Moon Dance,2026-03-18,235.73,0.00,,235.73
Solo,2026-03-18,209.91,0.00,,209.91
Mojo,2026-03-18,203.73,0.00,,203.73
Martha,2026-03-19,202.05,0.00,,202.05
Salty Lady,2026-03-19,134.70,0.00,,134.70
Elise,2026-03-19,224.50,0.00,,224.50
Mazu,2026-03-19,170.62,0.00,,170.62
Pegasus,2026-03-19,314.86,0.00,,228.99
Boondoggle,2026-03-19,231.52,0.00,,231.52
Glitch,2026-03-19,99.00,0.00,,99.00
Twilight Zone,2026-03-23,99.00,0.00,,99.00
Genesis,2026-03-23,180.72,0.00,,180.72
Dakini,2026-03-23,160.52,0.00,,160.52
Kakelekele,2026-03-23,134.70,0.00,,134.70
Olive,2026-03-23,160.52,0.00,,160.52
Blow Fish,2026-03-23,154.34,0.00,,154.34
Second Wind,2026-03-23,154.34,0.00,,154.34
Kodiak,2026-03-23,142.00,0.00,,142.00
Mor Wind,2026-03-23,185.21,0.00,,185.21
Maiden California,2026-03-23,99.00,0.00,,99.00
Tanagra,2026-03-24,166.13,0.00,,166.13
Pazzo Express,2026-03-24,166.13,0.00,,166.13
Merope,2026-03-24,170.62,0.00,,170.62
Impulse,2026-03-25,202.05,0.00,,202.05
Smogen 2,2026-03-25,242.46,0.00,,242.46
JGPC,2026-03-25,152.66,0.00,,152.66
Yakamoz,2026-03-25,216.08,0.00,,216.08
Aleph Null,2026-03-25,112.25,0.00,,112.25
Puntster,2026-03-25,154.34,0.00,,154.34
La Donna Jean,2026-03-26,152.66,59.32,2x 1" shaft,211.98
Dark Star,2026-03-26,325.05,0.00,,325.05
Southern Cross,2026-03-26,188.58,0.00,,188.58
Sunday Morning,2026-03-26,188.58,0.00,,188.58
Not Applicable,2026-03-26,135.82,0.00,,135.82
